,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3000,22978545,Apartment Eduardo,5414684.0,1.4625405038985042e+18,Alex,Horta-Guinardó,el Guinardó,41.42439,2.17366,Entire home/apt,175.0,1.0,194,2026-06-01,1.91,6.0,132,25,Spain - National registration number<br />ESFCTU00000811500057133600000000000000000HUTB-0113474<br /><br />Barcelona - Regional registration number<br />HUTB-011347
3200,24539639,"FEEL AT HOME,Near BCNA AIRPORT and Plaza España",39370811.0,1.4626813126603584e+18,Ricardo,Sants-Montjuïc,la Bordeta,41.37016,2.13873,Private room,,60.0,77,2022-08-01,0.77,2.0,101,0,
3400,27049403,Lovely 1 bedroom apartment with terrace,130223809.0,1.468305181371826e+18,BeAndLiveHomes,Eixample,Sant Antoni,41.38108,2.15744,Entire home/apt,68.0,32.0,12,2025-05-31,0.13,45.0,327,0,Spain - National registration number<br />ESFCNT00000806700117007300000000000000000000000000009<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
3600,29696685,Fantstic & Elegant Apartment in the centre,223473665.0,1.4632142515645007e+18,Blau Apartment,Eixample,la Dreta de l'Eixample,41.39271,2.15986,Entire home/apt,341.0,3.0,42,2026-05-20,0.46,2.0,125,17,Spain - National registration number<br />ESFCTU00000805600024578300000000000000HUTB-003994-783<br /><br />Barcelona - Regional registration number<br />HUTB-003994
3800,32030157,BBarcelona Modern Eixample Apartment,238724735.0,1.469270165175517e+18,BBarcelona Apartments,Eixample,la Nova Esquerra de l'Eixample,41.38642,2.15034,Entire home/apt,257.0,1.0,27,2026-06-02,0.58,24.0,125,7,Spain - National registration number<br />ESFCTU00000806000059757500000000000000000HUTB-0085339<br /><br />Barcelona - Regional registration number<br />HUTB-008533
4000,34193287,"Ideal para un grupo o familia, centrico, tranquil",258157785.0,1.469363944727605e+18,Luisa,Ciutat Vella,el Barri Gòtic,41.38017,2.17704,Entire home/apt,33.0,90.0,2,2024-04-30,0.04,1.0,215,0,
4200,35871030,"Double room in heart of Eixample, Barcelona",248238044.0,1.4693163207734723e+18,MyRoom,Eixample,la Nova Esquerra de l'Eixample,41.38114,2.15246,Private room,,6.0,1,2019-07-11,0.01,2.0,0,0,
4400,37990824,La Seine - Cozy modern long-stay apartment,43565515.0,1.4626941643714724e+18,Homes In Blue,Eixample,la Dreta de l'Eixample,41.39374,2.16101,Entire home/apt,94.0,32.0,5,2026-05-07,0.1,29.0,247,2,Spain - National registration number<br />ESHFNT00000805600060842700600000000000000000000000008<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
4600,40001918,Modern Apt  Sagrada Familia / Shared terrace,567180.0,1.4625126976026775e+18,Sandra,Eixample,la Sagrada Família,41.4058,2.17345,Entire home/apt,314.0,1.0,217,2026-06-22,3.49,6.0,180,154,Spain - National registration number<br />ESHFTU00000805800052263501200000000000000HUTB-0003315<br /><br />Barcelona - Regional registration number<br />HUTB-000331
4800,41896154,Lucasland BCN El Capricho de Gaudí,26193907.0,1.4626364722022428e+18,Gerardo,Eixample,la Sagrada Família,41.4017,2.17554,Entire home/apt,357.0,1.0,53,2026-06-06,1.38,8.0,201,36,Spain - National registration number<br />ESFCTU000008073000202608000000000000000000HUBT0130649<br /><br />Barcelona - Regional registration number<br />HUTB-013064
